fuente,nombre_proyecto,campo_sectorial,COD_DANE,anio_inicio,clase,motivo
cercarbono,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Caceri S.A.,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 3.1 | Removal",,,AFOLU_NO_REDD,sector~reforest
cercarbono,Proyecto Carbono CAS,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",19392,2008.0,AFOLU_NO_REDD,sector~afforest
cercarbono,Proyecto Forestal CO2CERO Chiguiro,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 4.5 | Removal",50568;50573;99524,2020.0,AFOLU_NO_REDD,sector~reforest
cercarbono,Proyecto Forestal de Mitigacion de Cambio Climatico en areas degradadas por ganaderia Fincas La Clara y Suebra,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Proyecto de Mitigacion Forestal Bonanza Verde,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,"Proyecto de mitigacion en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",68081,,AFOLU_NO_REDD,sector~afforest
cercarbono,Proyecto forestal de mitigacion de cambio climatico “Forestal de La Orinoquia”,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC 3.1 | Removal,99001;99524,,AFOLU_NO_REDD,sector~afforest
cercarbono,Recuperacion de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC 3.1 | Removal,05129;15131;17616,,AFOLU_NO_REDD,sector~afforest
cercarbono,Reforestacion Comercial en Meta,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Reforestacion de suelos degradados por la ganaderia y la agricultura en Antioquia,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,SKCARBONO,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05129;15131;17616,,AFOLU_NO_REDD,sector~afforest
gold_standard,"Conservation and reforestation of degraded areas in Barbosa, Colombia",Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,05079,2011.0,AFOLU_NO_REDD,sector~afforest
gold_standard,"Vegachi, ecological restoration of degraded lands",,05858,2015.0,AFOLU_NO_REDD,nombre~restorat
gold_standard,Vichada Climate Reforestation Project (PAZ),,99773,2006.0,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,PDBC - Programas de Desarrollo Bajo en Carbono | [],,,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,PDBC - Programas de Desarrollo Bajo en Carbono | ,,,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Morado Reforestation Project Veraneo,PDBC - Proyectos de Desarrollo Bajo en Carbono | [],,,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Morado Reforestation Project Veraneo,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,,,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,PDBC - Programas de Desarrollo Bajo en Carbono | [],,,AFOLU_NO_REDD,nombre~reforest
renare,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,PDBC - Programas de Desarrollo Bajo en Carbono | ,,,AFOLU_NO_REDD,nombre~reforest
renare,Bella Bosque Afforestation Project - Colombia,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '$ 4.239', 'tipo_actividad_1': 708, 'contribucion_propia_1': '$ 21.000.000', 'costo_total_1': '$ 21.000",,,AFOLU_NO_REDD,sector~afforest
renare,Bella Bosque Afforestation Project - Colombia,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,,,AFOLU_NO_REDD,nombre~afforest
renare,Brujula Verde Project,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Aforestacion, Reforestacion y Revegetacion en sabanas degradadas""}', 'tipo_actividad_1': 746, 'descripcion_activid",,,AFOLU_NO_REDD,sector~reforest
renare,CARBONO AGROPORVANDA,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,CARBONO LA TABACA - AGI,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Carbono Agroforestal La Argentina,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Carbono Agroforestal La Argentina,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,41378,,AFOLU_NO_REDD,nombre~agroforest
renare,Carbono Bagatela,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 100.000.000', 'costo_total_1': '$ 100.000.000'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Carbono Inmunizar,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco,MDL - Proyectos del Mecanismo de Desarrollo Limpio | [],,,AFOLU_NO_REDD,nombre~reforest
renare,Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco,MDL - Proyectos del Mecanismo de Desarrollo Limpio | ,,,AFOLU_NO_REDD,nombre~reforest
renare,Cumare Carbon Proyect,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,ENTREPALMAS S.A.S,"MDL - Proyectos del Mecanismo de Desarrollo Limpio | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 666, 'contribucion_propia_1': '$ 2.000.000.000', 'costo_total_1': '$ 2.000.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,"FINCA LA PAZ II LA VICHADA, COLOMBIA","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '$ 4.400', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 10.188.646', 'costo_total_1': '$ 10.188",,,AFOLU_NO_REDD,sector~reforest
renare,Los Tities de San Juan,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '$ 4.249', 'tipo_actividad_1': 747, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 1.416.518', 'se",,,AFOLU_NO_REDD,sector~restauraci
renare,Mas Bosques para Medellin,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 64.416.028.121', 'costo_total_1': '$ 64.416.02",,,AFOLU_NO_REDD,sector~reforest
renare,PAISAJES PRODUCTIVOS RESTAURADOS EN LA CUENCA MEDIA DEL RIO MAGDALENA EN COLOMBIA,"PDBC - Programas de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 747, 'contribucion_propia_1': '$ 880.000.000', 'costo_total_1': '$ 880.000.000'",,,AFOLU_NO_REDD,sector~restauraci
renare,PROYECTO ASOCIATIVO PROGRAMATICO ZONA ANDINA Y COSTA ATLANTICA -FCG,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 667.575.315', 'costo_total_1': '$ 667.575.315'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CARBONO IG FARMS,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 144.394.554', 'costo_total_1': '$ 144.394.554'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO CASANARE,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.",,,AFOLU_NO_REDD,sector~reforest
renare,PROYECTO FORESTAL CO2CERO CASANARE _3_2021,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 2.893.957.568', 'secto",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO CAUCHO EL VIENTO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 68.424.448', 'costo_total_1': '$ 68.424.448', ",,,AFOLU_NO_REDD,sector~reforest
renare,PROYECTO FORESTAL CO2CERO CAUCHO PL UNO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 344.808.808', 'costo_total_1': '$ 344.808.808'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO CORDILLERA CENTRAL,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO META,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.",,,AFOLU_NO_REDD,sector~reforest
renare,PROYECTO FORESTAL CO2CERO META_09,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 53.421.686', 'costo_total_1': '$ 53.421.686', ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,PROYECTO FORESTAL CO2CERO SANTANDER,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000', 'costo_total_1': '$ 1.000.000', 's",,,AFOLU_NO_REDD,sector~reforest
renare,PROYECTO FORESTAL NUCLEO VICHADA META CO2CERO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 103.263.715.798', 'costo_total_1': '$ 103.263.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) - Reforestadora Caceri SA,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) - Reforestadora Caceri SA,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,,,AFOLU_NO_REDD,nombre~reforest
renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Plantaciones forestales""}', 'tipo_actividad_1': 746, 'descripcion_actividad_1': 'Plantacion Forestal comercial', '",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Carbono Sombrilla Abejorral,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 4.026.891.947', 'costo_total_1': '$ 4.026.891.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Carbono Verde,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal CO2CERO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 63.130.091.992', 'sect",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal CO2CERO Alcaravan Orinoquia,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Plantaciones forestales""}', 'tipo_actividad_1': 746, 'descripcion_actividad_1': 'El area de implementacion se loca",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal CO2CERO CARIBE,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 171.998.681', 'costo_total_1': '$ 171.998.681'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal CO2CERO Chiguiro,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Plantaciones Forestales""}', 'tipo_actividad_1': 746, 'descripcion_actividad_1': 'Desarrollar un proyecto de carbon",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal CO2CERO VICHADA,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 708, 'contribucion_propia_1': '$ 3.242.935.118', 'costo_total_1': '$ 3.242.935.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal Carbono Sombrilla Abejorral,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 169.407.874', 'costo_total_1': '$ 169.407.874'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal MAVALLE en plantaciones de Caucho natural,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal MAVALLE en plantaciones de Caucho natural,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,50568;50573,,AFOLU_NO_REDD,nombre~plantaci[oó]n
renare,Proyecto Forestal Nucleo Vichada - Meta CO2CERO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 346.056.871', 'costo_total_1': '$ 346.056.871'",,,AFOLU_NO_REDD,sector~reforest
renare,"Proyecto Forestal Para La Cuenca del Rio Chinchina, una alternativa ambiental para la ciudad y La Region¿","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal Sombrilla Urrao FCG,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 399.528.388', 'costo_total_1': '$ 399.528.388'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto Forestal de Mitigacion Carbono SOMBRILLA ZONA CAFETERA FCG-CO2CERO,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.000.000', 'costo_total_1': '$ 3.000.000', 's",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto carbono CAS,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,"Proyecto de Captura de Carbono, y Conservacion Hidrica del Bosque Altoandino-Humedo en la Finca La Giovanna, Pamplona (Norte de Santander).","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Remocion de CO2 por biomasa aerea y subterranea en bosque natural altoandino""}', 'tipo_actividad_1': 246, 'descrip",,,AFOLU_NO_REDD,sector~restauraci
renare,Proyecto de Carbono en Bosques de Sabor y Aroma,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': ",,,AFOLU_NO_REDD,sector~\bARR\b
