tarea,fuente,nombre_proyecto,COD_DANE,nota,clasificacion_sugerida,motivo_sugerencia,clave,anio_inicio,id_registro,n_registros,url,tipo_registro,tokens_match,cod_dane_match
SECTOR,renare,Proyecto Hidroeléctrico El Edén,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto hidroelectrico el eden,,690c8ec7471be180c8ed973d,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,CALDAS;MANZANARES;MARQUETALIA;PENSILVANIA;SILVANIA,15131;17433;17444;17541;25743;5129
SECTOR,renare,Prueba,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|prueba,,68d82b7bf7447e0f93dcaf29;68ddf2adf7447e0f93dcb125,2.0,https://renare.minambiente.gov.co/,NAMA - Acciones Nacionalmente Apropiadas de Mitigación;PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,abclnlkvn,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=PDBC - Programas de Desarrollo; actividades sugiere AFOLU,renare|abclnlkvn,,68d9647bf7447e0f93dcb01e,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
SECTOR,renare,knfknl,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=MDL PoA - Programas de Activid; actividades sugiere AFOLU,renare|knfknl,,68d952ddf7447e0f93dcafe2,1.0,https://renare.minambiente.gov.co/,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,Nombre Iniciativa prueba,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=MDL - Proyectos del Mecanismo ; actividades sugiere AFOLU,renare|nombre iniciativa prueba,,68d94d2bf7447e0f93dcafb8,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,nombre prueba,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|nombre prueba,,68d9465cf7447e0f93dcaf56,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,EcoAcción MDL,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo=MDL PoA - Programas de Activid; actividades sugiere AFOLU,renare|ecoaccion mdl,,68b20da12cb375c800b83892;68d4283d2d88c288b51cf71f;68d6a15a350c48834f3de405,3.0,https://renare.minambiente.gov.co/,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,Plan VERDE: Valoración de Energías Renovables y Disminución de Emisiones,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=MDL PoA - Programas de Activid; actividades sugiere AFOLU,renare|plan verde: valoracion de energias renovables y disminucion de emisiones,,68c991302d88c288b51cef65,1.0,https://renare.minambiente.gov.co/,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,CIENAGA,47189
SECTOR,renare,Los Titíes de San Juan,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|los tities de san juan,,68b22d062cb375c800b83dfb,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|proyecto de generacion de energia solar fotovoltaica la loma,,68b22d052cb375c800b83df8,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,BaumInvest Flor Morado Reforestation Project Veraneo,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|bauminvest flor morado reforestation project veraneo,,68b22d042cb375c800b83df5,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio d,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto de mitigacion en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio d,,68b22cff2cb375c800b83df1,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,prueba_py_pdbc,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|prueba_py_pdbc,,68b22cfa2cb375c800b83ded,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Central Hidroeléctrica Menor Amaime,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=MDL - Proyectos del Mecanismo ; actividades sugiere AFOLU,renare|central hidroelectrica menor amaime,,68b22cb62cb375c800b83d76;68b22cf42cb375c800b83de9,2.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio;PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,AgroTrace,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo: PDBC - Programas de Desarrollo Bajo en Carbono (no concluyente),renare|agrotrace,,68b22cf42cb375c800b83de6,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
SECTOR,renare,CARVIDA DURATEX,,Verificado: CARVIDA DURATEX figura como proyecto AFOLU; el registro público secundario consultado reporta periodo 01/03/2007–28/02/2030.,AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|carvida duratex,2007.0,68b22cf22cb375c800b83de0,1.0,https://www.ecoregistry.io/projects/68,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo: PDBC - Programas de Desarrollo Bajo en Carbono (no concluyente),renare|bauminvest flor saphira reforestation project el capricho & la catorce,,68b22cf02cb375c800b83dda,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
SECTOR,renare,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo: PDBC - Programas de Desarrollo Bajo en Carbono (no concluyente),renare|bauminvest flor morado reforestation project punta hermosa & moriche solo,,68b22cef2cb375c800b83dd7,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
SECTOR,renare,A,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|a,,68b22cee2cb375c800b83dd1,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,ENTREPALMAS S.A.S,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo=MDL - Proyectos del Mecanismo ; actividades sugiere AFOLU,renare|entrepalmas s.a.s,,68b22ced2cb375c800b83dce,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,CIM2,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|cim2,,68b22ceb2cb375c800b83dc8,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Central Hidroeléctrica Escuela de Minas,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|central hidroelectrica escuela de minas,,68b22cea2cb375c800b83dc5,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Central Hidroeléctrica Carlos Lleras Restrepo,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|central hidroelectrica carlos lleras restrepo,,68b22ce92cb375c800b83dc2,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Central Hidroeléctrica Menor Bajo Tuluá,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|central hidroelectrica menor bajo tulua,,68b22ce42cb375c800b83dbe,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Carbono Bagatela,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|carbono bagatela,,68b22cdf2cb375c800b83dba,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,ARBOLETES;CORDOBA;LOS CORDOBAS,13212;23419;5051;52215;63212
SECTOR,renare,Proyecto hidroeléctrico Caruquia,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Programas de Desarrollo Bajo en Carbono (no concluyente),renare|proyecto hidroelectrico caruquia,,68b22cde2cb375c800b83db7,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
SECTOR,renare,Brújula Verde Project,,Verificado como proyecto de forestación/reforestación y captura de carbono en Vichada. Primera plantación de gran escala reportada en 2024; se usa como año de inicio de implementación documentada.,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|brujula verde project,2024.0,68b22cdd2cb375c800b83db4,1.0,https://brujula-verde.com/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Solario,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: MDL - Proyectos del Mecanismo de Desarrollo Limpio (no concluyente),renare|solario,,68b22cdc2cb375c800b83db1,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,Proyecto Solar Fotovoltaico Greenyellow,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|proyecto solar fotovoltaico greenyellow,,68b22cdb2cb375c800b83dae,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Agua Fresca Multipurpose and Environmental Services Project,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|agua fresca multipurpose and environmental services project,,68b22cda2cb375c800b83dab,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Carbono Verde II,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|carbono verde ii,,68b22cd92cb375c800b83da8,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Proyecto Hidroeléctrico Guanaquitas 9.74 MW,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: MDL - Proyectos del Mecanismo de Desarrollo Limpio (no concluyente),renare|proyecto hidroelectrico guanaquitas 9.74 mw,,68b22cd82cb375c800b83da5,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,RUTA ANDINA ,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|ruta andina,,68b22cd72cb375c800b83da2,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Planta Solar Fotovoltaica Fundación ,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|planta solar fotovoltaica fundacion,,68b22cd12cb375c800b83d9b,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,CIM 1,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),renare|cim 1,,68b22cd02cb375c800b83d98,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,CARBONO LA TABACA - AGI,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|carbono la tabaca - agi,,68b22b842cb375c800b83c3b;68b22cc62cb375c800b83d90,2.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Proyecto hidroeléctrico Popal 20 MW,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo: PDBC - Programas de Desarrollo Bajo en Carbono (no concluyente),renare|proyecto hidroelectrico popal 20 mw,,68b22cc52cb375c800b83d8d,1.0,https://renare.minambiente.gov.co/,PDBC - Programas de Desarrollo Bajo en Carbono,,
