fuente,nombre_proyecto,campos_sectoriales,COD_DANE,anio_inicio,clase,motivo
renare,"Project REDD+ Pacifico Norte-Sur, ACADESAN.","Proyecto REDD+ | Proyecto REDD+ | [{'fuente_relacionada_1': '{""value"":""CO2""}', 'tipo_actividad_1': 46, 'descripcion_actividad_1': 'La conservacion de los bosques de la region pacifica colombiana media",27077,2024.0,REDD_PLUS,nombre~\bREDD\b
renare,Proyecto REDD+ Cabildo Mayor Indigena de Vigia del Fuerte,Proyecto REDD+ | Proyecto REDD+ | [],05873,,REDD_PLUS,nombre~\bREDD\b
renare,Proyecto REDD+ Origen Atrato - Baudo_,Proyecto REDD+ | Proyecto REDD+ | [{'acciones_redd_mas_1': 'Fortalecimiento de la gobernanza y el control territorial\nfomento de actividades productivas basadas en el uso y conservacion de la biodive,27050,2018.0,REDD_PLUS,nombre~\bREDD\b
renare,Proyecto REDD+ del Bajo Atrato,Proyecto REDD+ | Proyecto REDD+ | [{'acciones_redd_mas_1': 'Fortalecimiento de la gobernanza y el control territorial\nfomento de actividades productivas basadas en el uso y conservacion de la biodive,27050,2018.0,REDD_PLUS,nombre~\bREDD\b
renare,Proyecto de Conservacion PALAMEKU KUWEI REDD+,"Proyecto REDD+ | Proyecto REDD+ | [{'acciones_redd_mas_1': 'Fortalecimiento de la gobernanza territorial, reforestacion participativa, procesos productivos agricolas sostenibles incorporacion del ecot",94888,2010.0,REDD_PLUS,nombre~\bREDD\b
renare,REDD++ Manglares del Bajo Baudo,"Proyecto REDD+ | Proyecto REDD+ | [{'acciones_redd_mas_1': '1. Desarrollo sostenible \n2. Fortalecimeinto de capacidades \n3. Fortalecimiento de Gobernanza y cultura \n4. Conservacion y monitoreo \n',",27077,2021.0,REDD_PLUS,nombre~\bREDD\b
verra,ACABA REDD+ Project,Agriculture Forestry and Other Land Use | ,27025,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,ASATIQ Vaupes Maloca REDD+ Project,Agriculture Forestry and Other Land Use | ,97001,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,ASATRIZY Vaupes Maloca REDD+ Project,Agriculture Forestry and Other Land Use | ,97001,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Agriculture Forestry and Other Land Use | ,52835,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,Bajo Atrato REDD+ Project,Agriculture Forestry and Other Land Use | ,27615,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,Bajo Calima y Bahia Malaga (BCBM) REDD+ Project,Agriculture Forestry and Other Land Use | ,76109,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,CHONTA COROZO REDD+,Agriculture Forestry and Other Land Use | ,19318,2017.0,REDD_PLUS,nombre~\bREDD\b
verra,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",Agriculture Forestry and Other Land Use | ,27001,2016.0,REDD_PLUS,nombre~\bREDD\b
verra,CONDOTO REDD+,Agriculture Forestry and Other Land Use | ,27205,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",Agriculture Forestry and Other Land Use | ,76109,2018.0,REDD_PLUS,nombre~\bREDD\b
verra,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",Agriculture Forestry and Other Land Use | ,50590,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+ PROJECT,Agriculture Forestry and Other Land Use | ,18756,2018.0,REDD_PLUS,nombre~\bREDD\b
verra,Cajambre REDD+ Project,Agriculture Forestry and Other Land Use | ,76109,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,Carmen del Darien (CDD) REDD+ Project,Agriculture Forestry and Other Land Use | ,27150,2014.0,REDD_PLUS,nombre~\bREDD\b
verra,Concosta REDD+ Project,Agriculture Forestry and Other Land Use | ,27077,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Agriculture Forestry and Other Land Use | ,68464,2015.0,REDD_PLUS,nombre~\bREDD\b
verra,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Agriculture Forestry and Other Land Use | ,41668,2014.0,REDD_PLUS,nombre~\bREDD\b
verra,Kuvay Macaro Vidi REDD+ Caruru -KUMAVI REDD+,Agriculture Forestry and Other Land Use | ,97161,2017.0,REDD_PLUS,nombre~\bREDD\b
verra,Mutata REDD+ Project,Agriculture Forestry and Other Land Use | ,05480,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,NAYA REDD+,Agriculture Forestry and Other Land Use | ,19418,2015.0,REDD_PLUS,nombre~\bREDD\b
verra,Origen Atrato-Baudo REDD+ Project,Agriculture Forestry and Other Land Use | ,27600,2019.0,REDD_PLUS,nombre~\bREDD\b
verra,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Agriculture Forestry and Other Land Use | ,97511,2017.0,REDD_PLUS,nombre~\bREDD\b
verra,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCO, COLOMBIA",Agriculture Forestry and Other Land Use | ,27361,2024.0,REDD_PLUS,nombre~\bREDD\b
verra,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Agriculture Forestry and Other Land Use | ,97511,2020.0,REDD_PLUS,nombre~\bREDD\b
verra,Proyecto REDD++ PANI,Agriculture Forestry and Other Land Use | ,91669,2022.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD + in the Forests of the Otun River Basin,Agriculture Forestry and Other Land Use | ,66682,2016.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPES YUTUCU AND OTHERS,Agriculture Forestry and Other Land Use | ,97001,2017.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,Agriculture Forestry and Other Land Use | ,27006,2018.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Esteros y Manglares,Agriculture Forestry and Other Land Use | ,52490,2021.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Project Magnolios de Yarumal,Agriculture Forestry and Other Land Use | ,05134,2016.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Project Pueblos indigenas resguardando la selva,Agriculture Forestry and Other Land Use | ,91405,2016.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Agriculture Forestry and Other Land Use | ,99773,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Project for the Conservation of Lowland Forest in the Magdalena Medio Region of Colombia,Agriculture Forestry and Other Land Use | ,05893,2018.0,REDD_PLUS,nombre~\bREDD\b
